FACILITY_ID,ON_GRID_AVL,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,URBAN,ON_GRID,EA,SOLAR_INC,SOLAR_ONL,DIESEL_INC,DIESEL_ONL,FACILITY_TYPE,cluster
2109007,0,29.481308,30.72526,19.826853,23.434244,0,0,0,0,0,0,0,1,6
2109008,0,30.781591,38.359142,0.78108937,23.480143,1,0,1,1,0,1,0,2,2
2109009,0,30.46063,35.302357,4.7857122,21.910902,0,1,0,0,0,0,0,1,0
2109010,0,37.62878,37.62878,6.1613779,33.232758,0,0,0,0,0,0,0,1,6
2109011,0,24.842361,24.842361,23.905653,47.314796,0,0,1,0,0,1,1,1,4
2110001,0,18.401142,18.401142,18.401142,44.096951,0,0,1,0,0,1,1,1,4
2110002,0,9.7960949,9.7960949,9.7960949,45.09203,0,1,0,0,0,0,0,1,0
2110003,0,17.503603,17.503603,17.503603,37.641254,0,1,0,0,0,0,0,1,0
2110004,0,5.7183242,5.7183242,0.35394067,30.670374,1,1,0,0,0,0,0,1,2
2110005,0,22.632933,13.18915,13.18915,24.898909,0,1,0,0,0,0,0,2,0
2110006,0,21.792707,11.171638,11.171638,21.792707,0,1,0,0,0,0,0,2,0
2110007,0,12.547651,12.547651,12.547651,36.70768,0,1,0,0,0,0,0,1,0
2110008,0,10.790101,10.790101,10.790101,41.320171,0,1,1,0,0,1,0,1,0
2110009,0,12.892147,12.892147,12.892147,43.316673,0,1,0,0,0,0,0,1,0
2110010,0,19.687731,19.687731,19.687731,42.623665,0,1,0,0,0,0,0,1,0
2110011,0,1.7191777,1.7191777,1.7191777,37.02544,1,1,1,1,0,0,0,2,2
2110012,0,1.7524905,1.7524905,1.7524905,37.062435,1,1,1,1,0,0,0,3,2
2111001,0,29.692375,29.692375,29.692375,45.669739,0,0,0,0,0,0,0,1,6
2111002,0,36.561207,36.561207,35.505474,45.156303,0,0,0,0,0,0,0,2,6
2111003,0,36.52813,36.52813,35.460098,45.169765,0,0,0,0,0,0,0,1,6
2111004,0,37.638,37.638,36.653328,44.571297,0,0,0,0,0,0,0,1,6
2111005,0,40.858608,40.97385,40.97385,47.256226,0,0,0,0,0,0,0,1,6
2112001,0,5.9447188,16.933092,5.9447188,5.9447188,0,1,0,0,0,0,0,2,0
2112002,0,11.332723,14.515522,9.7178574,11.332723,0,1,1,0,0,1,0,1,0
