PC 1,PC 2,cluster
-0.004,-0.995,1
0.161,-0.986,1
0.041,-0.991,1
0.014,-0.992,1
0.025,-0.995,1
0.023,-0.993,1
-0.077,-0.369,1
-0.012,-0.996,1
-0.01,-0.996,1
-0.084,-0.368,1
-0.066,-0.369,1
-0.333,-0.383,1
-0.202,-1.006,1
0.004,-0.999,1
-0.176,-1.008,1
0.11,-0.99,1
0.042,-0.993,1
2.0,-0.364,1
0.126,-0.358,1
0.082,-0.989,1
-0.053,-0.366,1
-0.15,-1.004,1
-0.127,-1.002,1
-0.566,-0.392,1
-0.418,-1.015,1
-0.476,-1.018,1
-0.245,-1.006,1
-0.233,-1.006,1
-0.359,-1.014,1
-0.167,-1.006,1
-0.252,-0.377,1
-0.477,-1.018,1
-0.255,-1.006,1
0.193,-0.985,1
0.04,-0.994,1
-0.07,-0.366,1
-0.087,-0.368,1
-0.004,-0.995,1
-0.02,-0.995,1
0.042,-0.993,1
0.15,-0.988,1
0.013,-0.366,1
0.299,-0.981,1
-0.007,-0.995,1
-0.009,-0.997,1
-0.001,-0.997,1
-0.002,-0.998,1
0.035,-0.996,1
0.044,-0.995,1
-0.042,-0.37,1
0.033,-0.997,1
-0.063,-0.367,1
0.016,-0.993,1
-0.002,-0.995,1
-0.011,-0.998,1
-0.131,-1.003,1
-0.213,-1.006,1
0.023,-0.366,1
-0.072,-1.001,1
0.205,-0.985,1
0.237,-0.984,1
0.186,-0.984,1
0.152,-0.356,1
0.053,-0.994,1
0.004,-0.364,1
0.046,-0.364,1
0.132,-0.99,1
0.127,-0.358,1
-0.049,-0.367,1
0.057,-0.991,1
0.032,-0.992,1
-0.35,-1.012,1
-0.044,-0.368,1
0.029,-0.996,1
0.105,-0.991,1
0.146,-0.356,1
0.456,-0.973,1
0.506,-0.97,1
0.199,-0.984,1
0.221,-0.983,1
0.215,-0.984,1
0.026,-0.995,1
-0.266,-1.009,1
-0.328,-1.013,1
-0.132,-1.0,1
-0.225,-1.01,1
-0.361,-0.378,1
-0.321,-1.007,1
0.126,-0.982,1
-0.185,-0.995,1
-0.351,-1.009,1
-0.394,-1.009,1
-0.394,-1.007,1
-0.36,-0.379,1
-0.2,-1.0,1
-0.312,-0.38,1
-0.471,-0.389,1
-0.336,-1.012,1
-0.487,-1.02,1
-0.534,-0.392,1
-0.587,-1.023,1
-0.442,-1.017,1
-0.24,-1.011,1
