FACILITY_ID,FACILITY_TYPE,URBAN,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,ON_GRID,ON_GRID_AVL,SOLAR_ONL,SOLAR_INC,DIESEL_ONL,DIESEL_INC
1206005,1,0,30,9,16,3,1,0,0,0,0,0
1206006,1,0,32,8,17,1,1,0,0,0,0,0
1206007,1,0,28,14,17,6,1,0,0,0,0,0
1206008,1,0,26,22,30,10,1,0,0,0,0,0
1206009,2,0,28,21,28,8,1,0,0,0,0,0
1206010,1,0,33,21,27,4,1,0,0,0,0,0
1206011,1,0,37,22,27,4,0,0,0,0,1,1
1206012,1,0,33,22,24,5,1,0,0,0,0,0
1206013,1,0,31,19,26,5,1,0,0,0,0,0
1206014,2,1,34,18,23,0,1,0,0,0,0,0
1206015,3,1,34,18,23,0,1,0,0,0,0,1
1207001,1,0,32,29,36,13,0,0,0,0,0,0
1207002,1,0,34,28,33,11,1,0,0,0,0,0
1207003,1,0,35,29,36,13,1,0,0,0,0,0
1207004,1,0,37,30,31,13,0,0,0,0,0,0
1207005,1,0,40,30,33,12,0,0,0,0,0,0
1207006,2,1,35,26,31,8,1,0,0,1,0,0
1207007,1,0,33,24,30,7,1,0,0,0,0,0
1207008,1,0,37,25,29,7,1,0,0,0,0,0
1208001,3,1,2,2,2,13,1,0,0,0,0,0
1208002,1,0,9,9,9,21,0,0,0,0,1,1
1208003,1,0,21,11,11,31,0,0,0,0,0,0
1208004,1,0,8,8,8,19,0,0,0,0,0,0
1208005,1,0,15,15,15,20,1,0,0,0,0,0
1208006,1,0,4,4,4,11,0,0,0,0,0,0
1208007,2,0,7,8,5,12,1,0,0,0,0,0
1208008,1,0,8,11,8,8,0,0,0,0,0,0
1208009,1,0,8,16,8,8,0,0,0,0,0,0
1208010,1,0,5,5,5,10,1,0,0,0,0,0
1209001,1,0,19,19,19,19,0,0,0,0,0,0
1209002,1,0,30,29,29,33,0,0,0,0,0,0
1209003,1,0,33,41,19,19,0,0,0,0,0,0
1209004,1,0,24,56,7,7,0,0,0,0,0,0
1209005,1,0,33,52,8,8,0,0,0,0,0,0
1209006,1,0,35,55,8,8,0,0,0,0,0,0
1209007,1,0,38,64,8,8,0,0,0,0,0,0
1209008,3,1,31,59,0,0,1,0,0,0,0,0
1209009,1,0,31,31,31,31,0,0,0,0,0,0
1209010,1,0,24,24,24,24,0,0,0,0,0,0
1210001,2,1,1,1,1,1,1,0,0,0,0,0
1210003,1,1,2,2,2,2,1,0,0,0,0,0
1210004,2,1,1,1,1,1,1,0,0,0,0,0
1210005,3,1,1,1,1,1,1,0,0,0,0,0
1211001,1,0,20,20,20,20,0,0,0,0,1,1
1211002,1,0,26,21,26,26,0,0,0,0,1,1
1211003,1,0,25,25,20,25,0,0,0,0,0,0
1211004,2,1,13,0,0,0,1,0,0,0,0,0
1211005,1,0,10,3,3,1,1,0,0,0,0,0
