FACILITY_ID;GOV;DISTRICT;FACILITY_TYPE;URBAN;MIN_AIR_2015;MIN_AIR_2016;MIN_GROUND_2015;MIN_GROUND_2016;ON_GRID;ON_GRID_AVL;SOLAR_ONL;SOLAR_INC;DIESEL_ONL;DIESEL_INC;cluster
2307012;Sana'a;Bani Matar;1;0;5;5;11;13;0;0;0;0;0;0;6
2110002;Shabwa;Nisab;1;0;10;10;10;45;1;0;0;0;0;0;0
2007019;Dhamar;Wusab As Safil;2;0;26;31;29;44;0;0;0;0;0;1;4
1106014;Ibb;As Saddah;2;0;6;10;9;11;1;0;0;0;0;0;0
1101025;Ibb;Al Qafr;1;0;24;30;18;21;0;0;0;0;0;0;6
2306004;Sana'a;Bilad Ar Rus;1;0;8;2;13;12;0;0;0;0;0;0;6
1825002;Al-Hodaida;Al Garrahi;1;0;10;26;26;42;0;0;0;0;0;0;6
2005019;Dhamar;Utmah;2;0;0;0;0;0;1;0;0;1;0;0;0
2709002;Al-Mahweet;Al Mahwait;2;0;12;14;14;38;0;0;0;0;0;0;6
2103003;Shabwa;Jirdan;1;0;51;14;35;43;1;0;0;0;0;0;0
2503012;Lahj;Al Moflehi;1;0;22;20;30;18;0;0;0;0;0;0;6
2904008;Amran;Al  Qaflah;2;0;10;9;19;19;0;0;0;0;0;1;4
3106005;Rimah;Mazhar;1;0;13;9;19;31;0;0;0;0;0;0;6
2307005;Sana'a;Bani Matar;1;0;4;4;22;20;0;0;0;0;0;0;6
2505006;Lahj;Habil Jabr;1;0;27;26;33;12;0;0;0;0;0;0;6
1402002;Al-baida;Nata;1;0;11;16;20;20;0;0;0;0;0;0;6
1808009;Al-Hodaida;Al Mighlaf;1;0;11;11;15;33;0;0;0;0;0;0;6
3103004;Rimah;As Salafiyah;1;0;10;11;16;16;0;0;0;0;0;0;6
1201003;Abyan;Al Mahfd;1;0;24;35;35;35;0;0;0;0;0;0;6
1211018;Abyan;khanfir;1;0;25;0;13;13;1;0;0;0;0;0;0
1826008;Al-Hodaida;At Tahita;1;0;10;10;30;11;0;0;0;0;0;0;6
2116002;Shabwa;Mayfa'ah;1;0;21;14;0;14;0;0;0;0;0;0;6
2707019;Al-Mahweet;Bani Sa'd;1;0;14;14;18;42;0;0;0;0;0;0;6
1720013;Hajjah;Mabyan;1;0;5;8;8;8;0;0;0;0;0;0;6
1204025;Abyan;Lawder;1;0;9;17;17;9;0;0;0;0;0;0;6
1211003;Abyan;khanfir;1;0;25;25;20;25;0;0;0;0;0;0;6
1108007;Ibb;Hubaysh;1;0;7;16;7;7;0;0;0;0;0;0;6
1208009;Abyan;Al Wade'a;1;0;8;16;8;8;0;0;0;0;0;0;6
2004006;Dhamar;Maghirib Ans;2;0;16;16;16;16;1;0;0;0;0;0;0
2510017;Lahj;Al Qabbaytah;1;0;12;12;12;11;0;0;0;0;0;0;6
2512007;Lahj;Al Maqatirah;2;0;4;3;4;4;1;0;0;0;0;0;0
2203004;Sa'adah;Munabbih;1;0;1;1;3;1;0;0;0;0;0;0;6
1516005;Taiz;Al Wazi'iyah;2;0;2;8;2;4;0;0;0;0;0;0;6
1415002;Al-baida;Wald Rabi'a;2;0;32;25;22;15;0;0;0;0;0;0;6
3102009;Rimah;Al Jabin;2;0;6;18;6;53;0;0;0;0;0;0;6
2006020;Dhamar;Wusab Al Ali;1;0;21;29;18;18;0;0;0;0;0;0;6
2001016;Dhamar;Al Hada;1;0;1;13;14;22;1;0;0;0;0;0;0
1826011;Al-Hodaida;At Tahita;1;0;9;9;30;26;0;0;0;0;0;0;6
1106016;Ibb;As Saddah;2;0;3;7;6;11;1;0;0;0;0;0;0
2920017;Amran;Assurm;1;0;7;4;11;30;0;0;0;0;0;0;6
3009014;Al-Dhala;Al Husha;1;0;6;6;6;21;0;0;0;0;0;0;6
2001021;Dhamar;Al Hada;1;0;5;7;9;32;1;0;0;0;0;0;0
1113009;Ibb;Ba'dan;2;0;5;5;5;5;1;0;0;1;0;0;0
2304001;Sana'a;Bani Hushaysh;1;0;5;0;6;5;0;0;0;0;0;0;6
1708002;Hajjah;Al Jamimah;1;0;4;13;23;18;0;0;0;0;0;0;6
