MIN_DISTANCE_AIRBORNE_2015,MIN_DISTANCE_AIRBORNE_2016,MIN_DISTANCE_GROUND_2015,MIN_DISTANCE_GROUND_2016,FACILITY_TYPE_MODELLED,ON_GRID_AVL,URBAN,ON_GRID,SOLAR_ONL,DIESEL_ONL,cluster
5.5085359,4.4026608,3.3014417,5.5085359,2,False,False,True,False,False,0
3.8480642,2.7160256,1.9185778,3.8480642,2,False,True,True,False,False,2
3.7965372,2.6021011,1.2906637,3.7965372,2,False,True,True,False,False,2
3.4556501,2.1555326,1.2379305,3.4556501,2,False,True,False,False,False,2
2.5775225,6.4652419,2.9317105,7.749423,2,False,False,True,False,False,0
4.0683541,2.7661426,1.3488153,4.0683541,3,False,True,True,False,False,2
3.8338845,2.6358359,1.3282911,3.8338845,2,False,True,True,False,False,2
3.8050423,2.5538471,1.3419164,3.8050423,3,False,True,False,False,False,2
3.9572926,2.6512916,1.2033926,3.9572926,3,False,True,True,False,False,2
3.9579976,2.6522036,1.1550274,3.9579976,3,False,True,False,False,False,2
3.6720963,2.474323,1.166841,3.6720963,2,False,True,True,False,False,2
4.5556779,3.2886829,0.27707943,4.5556779,3,False,True,True,False,False,2
1.7979392,0.80432487,1.0236801,1.7979392,2,False,True,True,False,False,2
1.3412937,0.62137401,1.1878847,1.3412937,3,False,True,True,False,False,2
2.1519434,1.1286702,0.86225241,2.1519434,3,False,True,True,False,False,2
2.3835266,1.3735453,0.75203186,2.3835266,2,False,True,True,False,False,2
4.0793052,2.777432,1.3542304,4.0793052,2,False,True,False,False,True,4
3.8921268,2.7117057,1.3873023,3.8921268,3,False,True,True,False,False,2
4.0528297,2.8651371,1.5472027,4.0528297,3,False,True,False,True,False,1
3.0138903,1.9436735,1.0908079,3.0138903,3,False,True,True,False,False,2
3.0929542,7.4340978,3.9265158,8.6649466,2,False,False,False,True,False,1
3.9180405,10.375435,9.2493057,12.005747,2,False,False,False,True,False,1
6.7417512,13.122069,6.7417512,6.7417512,1,False,False,False,True,False,1
6.6222858,7.8257642,5.8344755,9.5397863,2,False,False,False,True,False,1
7.0084505,11.078098,8.3339796,8.3339796,2,False,False,False,True,False,1
6.1002421,9.2991791,6.5988374,9.9348831,1,False,False,False,True,False,1
4.1564059,3.2146845,4.1564059,4.1564059,2,False,False,False,True,False,1
6.0228701,4.8368921,4.2258115,6.0228701,1,False,False,False,False,True,4
7.5655603,5.9027638,4.4125581,7.5655603,2,False,False,False,True,False,1
2.6474683,10.011311,6.4639487,11.006243,2,False,False,False,True,False,1
1.01015,1.01015,3.5756257,3.5039768,1,False,False,False,True,False,1
0.20393187,0.20393187,1.0913912,7.1505189,2,False,False,True,False,False,0
8.6238241,8.6949291,7.9705048,8.6238241,2,False,False,False,True,False,1
